NR INDV clone_lineage LOC Depth CLADE
409 DH0445_MMIR_SNA 103 SNA reef_slope Major
410 DH0446_MMIR_SNA 1 SNA reef_slope Major
411 DH0447_MMIR_SNA 1 SNA reef_slope Major
412 DH0448_MMIR_SNA 14 SNA reef_slope Major
413 DH0449_MMIR_SNA 9 SNA reef_slope Major
414 DH0450_MMIR_SNA 9 SNA reef_slope Major
415 DH0451_MMIR_SNA 20 SNA reef_slope Major
416 DH0452_MMIR_SNA 9 SNA reef_slope Major
417 DH0453_MMIR_SNA 109 SNA reef_slope Major
418 DH0454_MMIR_SNA 18 SNA reef_slope Major
419 DH0455_MMIR_SNA 10 SNA reef_slope Major
420 DH0456_MMIR_SNA 16 SNA reef_slope Major
421 DH0457_MMIR_SNA 16 SNA reef_slope Major
422 DH0458_MMIR_SNA 10 SNA reef_slope Major
423 DH0459_MMIR_SNA 10 SNA reef_slope Major
424 DH0460_MMIR_SNA 10 SNA reef_slope Major
425 DH0461_MMIR_SEA 10 SEA reef_slope Major
426 DH0462_MMIR_SEA 110 SEA reef_slope Major
427 DH0463_MMIR_SEA 110 SEA reef_slope Major
428 DH0464_MMIR_SEA 111 SEA reef_slope Major
429 DH0465_MMIR_SEA 110 SEA reef_slope Major
430 DH0466_MMIR_SEA 111 SEA reef_slope Major
431 DH0467_MMIR_SEA 112 SEA reef_slope Major
432 DH0468_MMIR_SEA 112 SEA reef_slope Major
433 DH0469_MMIR_SEA 112 SEA reef_slope Major
434 DH0470_MMIR_SEA 112 SEA reef_slope Major
435 DH0477_MMIR_SEA 112 SEA reef_slope Major
436 DH0478_MMIR_SEA 113 SEA reef_slope Major
437 DH0479_MMIR_SEA 113 SEA reef_slope Major
438 DH0480_MMIR_SEA 196 SEA reef_slope Minor
439 DH0481_MMIR_SEA 0 SEA reef_slope Major
440 DH0484_MMIR_SEA 110 SEA reef_slope Major
441 DH0486_MMIR_SEA 196 SEA reef_slope Minor
442 DH0487_MMIR_SEA 196 SEA reef_slope Minor
443 DH0488_MMIR_SEA 115 SEA reef_slope Major
444 DH0489_MMIR_SEA 115 SEA reef_slope Major
445 DH0490_MMIR_SEA 0 SEA reef_slope Major
446 DH0491_MMIR_SEA 0 SEA reef_slope Major
447 DH0492_MMIR_SEA 118 SEA reef_slope Major
448 DH0493_MMIR_SEA 118 SEA reef_slope Major
449 DH0494_MMIR_SEA 119 SEA reef_slope Major
450 DH0495_MMIR_SEA 118 SEA reef_slope Major
